,Completed,Day,Severely Underweight,Moderately Underweight (kg >),Moderately Underweight (kg <=),Normal
2170,Boys 0-5 years,0,2.08,2.08,2.459,2.459
2171,Boys 0-5 years,1,2.065,2.065,2.437,2.437
2172,Boys 0-5 years,2,2.08,2.08,2.454,2.454
2173,Boys 0-5 years,3,2.1,2.1,2.475,2.475
2174,Boys 0-5 years,4,2.122,2.122,2.499,2.499
2175,Boys 0-5 years,5,2.146,2.146,2.525,2.525
2176,Boys 0-5 years,6,2.17,2.17,2.551,2.551
2177,Boys 0-5 years,7,2.195,2.195,2.579,2.579
2178,Boys 0-5 years,8,2.221,2.221,2.607,2.607
2179,Boys 0-5 years,9,2.248,2.248,2.637,2.637
2180,Boys 0-5 years,10,2.276,2.276,2.667,2.667
2181,Boys 0-5 years,11,2.304,2.304,2.698,2.698
2182,Boys 0-5 years,12,2.333,2.333,2.73,2.73
2183,Boys 0-5 years,13,2.363,2.363,2.764,2.764
2184,Boys 0-5 years,14,2.395,2.395,2.798,2.798
2185,Boys 0-5 years,15,2.426,2.426,2.833,2.833
2186,Boys 0-5 years,16,2.459,2.459,2.869,2.869
2187,Boys 0-5 years,17,2.491,2.491,2.905,2.905
2189,Boys 0-5 years,19,2.557,2.557,2.977,2.977
2190,Boys 0-5 years,20,2.59,2.59,3.014,3.014
2191,Boys 0-5 years,21,2.624,2.624,3.051,3.051
2192,Boys 0-5 years,22,2.657,2.657,3.087,3.087
2193,Boys 0-5 years,23,2.69,2.69,3.124,3.124
2194,Boys 0-5 years,24,2.723,2.723,3.16,3.16
2195,Boys 0-5 years,25,2.756,2.756,3.197,3.197
2196,Boys 0-5 years,26,2.789,2.789,3.233,3.233
2197,Boys 0-5 years,27,2.822,2.822,3.269,3.269
2198,Boys 0-5 years,28,2.854,2.854,3.305,3.305
2199,Boys 0-5 years,29,2.887,2.887,3.34,3.34
2200,Boys 0-5 years,30,2.919,2.919,3.376,3.376
2201,Boys 0-5 years,31,2.951,2.951,3.411,3.411
2202,Boys 0-5 years,32,2.982,2.982,3.445,3.445
2203,Boys 0-5 years,33,3.014,3.014,3.48,3.48
2204,Boys 0-5 years,34,3.045,3.045,3.514,3.514
2205,Boys 0-5 years,35,3.076,3.076,3.548,3.548
2206,Boys 0-5 years,36,3.107,3.107,3.581,3.581
2207,Boys 0-5 years,37,3.137,3.137,3.615,3.615
2208,Boys 0-5 years,38,3.167,3.167,3.648,3.648
2209,Boys 0-5 years,39,3.197,3.197,3.68,3.68
2210,Boys 0-5 years,40,3.227,3.227,3.712,3.712
2211,Boys 0-5 years,41,3.256,3.256,3.744,3.744
2212,Boys 0-5 years,42,3.285,3.285,3.776,3.776
2213,Boys 0-5 years,43,3.314,3.314,3.807,3.807
2214,Boys 0-5 years,44,3.342,3.342,3.838,3.838
2215,Boys 0-5 years,45,3.37,3.37,3.869,3.869
2216,Boys 0-5 years,46,3.398,3.398,3.9,3.9
2217,Boys 0-5 years,47,3.426,3.426,3.93,3.93
2218,Boys 0-5 years,48,3.454,3.454,3.96,3.96
2219,Boys 0-5 years,49,3.481,3.481,3.989,3.989
2220,Boys 0-5 years,50,3.508,3.508,4.018,4.018
2221,Boys 0-5 years,51,3.534,3.534,4.047,4.047
2222,Boys 0-5 years,52,3.561,3.561,4.076,4.076
2223,Boys 0-5 years,53,3.587,3.587,4.104,4.104
2224,Boys 0-5 years,54,3.613,3.613,4.133,4.133
2225,Boys 0-5 years,55,3.639,3.639,4.16,4.16
2226,Boys 0-5 years,56,3.664,3.664,4.188,4.188
2227,Boys 0-5 years,58,3.714,3.714,4.242,4.242
2228,Boys 0-5 years,59,3.739,3.739,4.269,4.269
2229,Boys 0-5 years,60,3.764,3.764,4.296,4.296
2230,Boys 0-5 years,61,3.788,3.788,4.322,4.322
2231,Boys 0-5 years,62,3.812,3.812,4.348,4.348
2232,Boys 0-5 years,63,3.836,3.836,4.374,4.374
2233,Boys 0-5 years,64,3.86,3.86,4.4,4.4
2234,Boys 0-5 years,65,3.884,3.884,4.425,4.425
2235,Boys 0-5 years,66,3.907,3.907,4.45,4.45
2236,Boys 0-5 years,67,3.93,3.93,4.475,4.475
2237,Boys 0-5 years,68,3.953,3.953,4.5,4.5
2238,Boys 0-5 years,69,3.976,3.976,4.525,4.525
2239,Boys 0-5 years,70,3.998,3.998,4.549,4.549
2240,Boys 0-5 years,71,4.021,4.021,4.573,4.573
2241,Boys 0-5 years,72,4.043,4.043,4.597,4.597
2242,Boys 0-5 years,73,4.065,4.065,4.62,4.62
2243,Boys 0-5 years,74,4.087,4.087,4.644,4.644
2244,Boys 0-5 years,75,4.108,4.108,4.667,4.667
2245,Boys 0-5 years,76,4.13,4.13,4.69,4.69
2246,Boys 0-5 years,77,4.151,4.151,4.713,4.713
2247,Boys 0-5 years,78,4.172,4.172,4.736,4.736
2248,Boys 0-5 years,79,4.193,4.193,4.758,4.758
2249,Boys 0-5 years,80,4.213,4.213,4.78,4.78
2250,Boys 0-5 years,81,4.234,4.234,4.802,4.802
2251,Boys 0-5 years,82,4.254,4.254,4.824,4.824
2252,Boys 0-5 years,83,4.274,4.274,4.846,4.846
2253,Boys 0-5 years,84,4.294,4.294,4.867,4.867
2254,Boys 0-5 years,85,4.314,4.314,4.888,4.888
2255,Boys 0-5 years,86,4.334,4.334,4.909,4.909
2256,Boys 0-5 years,87,4.353,4.353,4.93,4.93
2257,Boys 0-5 years,88,4.372,4.372,4.951,4.951
2258,Boys 0-5 years,89,4.392,4.392,4.972,4.972
2259,Boys 0-5 years,90,4.41,4.41,4.992,4.992
2260,Boys 0-5 years,91,4.429,4.429,5.012,5.012
2261,Boys 0-5 years,92,4.448,4.448,5.032,5.032
2262,Boys 0-5 years,93,4.466,4.466,5.052,5.052
2263,Boys 0-5 years,94,4.485,4.485,5.072,5.072
2264,Boys 0-5 years,95,4.503,4.503,5.091,5.091
2265,Boys 0-5 years,97,4.539,4.539,5.13,5.13
2266,Boys 0-5 years,98,4.557,4.557,5.149,5.149
2267,Boys 0-5 years,99,4.574,4.574,5.168,5.168
2268,Boys 0-5 years,100,4.592,4.592,5.187,5.187
2269,Boys 0-5 years,101,4.609,4.609,5.205,5.205
2270,Boys 0-5 years,102,4.626,4.626,5.224,5.224
2271,Boys 0-5 years,103,4.644,4.644,5.242,5.242
2272,Boys 0-5 years,104,4.66,4.66,5.26,5.26
2273,Boys 0-5 years,105,4.677,4.677,5.278,5.278
2274,Boys 0-5 years,106,4.694,4.694,5.296,5.296
2275,Boys 0-5 years,107,4.711,4.711,5.314,5.314
2276,Boys 0-5 years,108,4.727,4.727,5.332,5.332
2277,Boys 0-5 years,109,4.743,4.743,5.349,5.349
2278,Boys 0-5 years,110,4.759,4.759,5.367,5.367
2279,Boys 0-5 years,111,4.775,4.775,5.384,5.384
2280,Boys 0-5 years,112,4.791,4.791,5.401,5.401
2281,Boys 0-5 years,113,4.807,4.807,5.418,5.418
2282,Boys 0-5 years,114,4.823,4.823,5.435,5.435
2283,Boys 0-5 years,115,4.838,4.838,5.452,5.452
2284,Boys 0-5 years,116,4.854,4.854,5.468,5.468
2285,Boys 0-5 years,117,4.869,4.869,5.485,5.485
2286,Boys 0-5 years,118,4.884,4.884,5.501,5.501
2287,Boys 0-5 years,119,4.9,4.9,5.517,5.517
2288,Boys 0-5 years,120,4.915,4.915,5.533,5.533
2289,Boys 0-5 years,121,4.929,4.929,5.549,5.549
2290,Boys 0-5 years,122,4.944,4.944,5.565,5.565
