,Completed,Height,SAM,MAM (kg >),MAM (kg <=),Normal (kg >),Normal (kg <=),Overweight (kg >),Overweight (kg <),Obese
1171,Boy 0-2 Yrs,45,1.877,1.877,2.043,2.043,2.951,2.951,3.261,3.261
1172,Boy 0-2 Yrs,45.1,1.88,1.88,2.057,2.057,2.971,2.971,3.283,3.283
1173,Boy 0-2 Yrs,45.2,1.903,1.903,2.072,2.072,2.991,2.991,3.305,3.305
1174,Boy 0-2 Yrs,45.3,1.916,1.916,2.086,2.086,3.011,3.011,3.326,3.326
1175,Boy 0-2 Yrs,45.4,1.929,1.929,2.1,2.1,3.031,3.031,3.348,3.348
1176,Boy 0-2 Yrs,45.5,1.942,1.942,2.114,2.114,3.05,3.05,3.37,3.37
1177,Boy 0-2 Yrs,45.6,1.956,1.956,2.128,2.128,3.07,3.07,3.391,3.391
1178,Boy 0-2 Yrs,45.7,1.969,1.969,2.142,2.142,3.09,3.09,3.413,3.413
1179,Boy 0-2 Yrs,45.8,1.982,1.982,2.157,2.157,3.109,3.109,3.434,3.434
1180,Boy 0-2 Yrs,45.9,1.995,1.995,2.171,2.171,3.129,3.129,3.456,3.456
1181,Boy 0-2 Yrs,46,2.008,2.008,2.185,2.185,3.149,3.149,3.477,3.477
1182,Boy 0-2 Yrs,46.1,2.021,2.021,2.199,2.199,3.169,3.169,3.499,3.499
1183,Boy 0-2 Yrs,46.2,2.034,2.034,2.213,2.213,3.188,3.188,3.521,3.521
1184,Boy 0-2 Yrs,46.3,2.048,2.048,2.228,2.228,3.208,3.208,3.542,3.542
1185,Boy 0-2 Yrs,46.4,2.061,2.061,2.242,2.242,3.228,3.228,3.564,3.564
1186,Boy 0-2 Yrs,46.5,2.074,2.074,2.256,2.256,3.248,3.248,3.585,3.585
1187,Boy 0-2 Yrs,46.6,2.087,2.087,2.271,2.271,3.268,3.268,3.607,3.607
1188,Boy 0-2 Yrs,46.7,2.101,2.101,2.285,2.285,3.288,3.288,3.629,3.629
1189,Boy 0-2 Yrs,46.8,2.114,2.114,2.299,2.299,3.307,3.307,3.65,3.65
1190,Boy 0-2 Yrs,46.9,2.127,2.127,2.314,2.314,3.327,3.327,3.672,3.672
1191,Boy 0-2 Yrs,47,2.141,2.141,2.328,2.328,3.347,3.347,3.694,3.694
1192,Boy 0-2 Yrs,47.1,2.154,2.154,2.343,2.343,3.367,3.367,3.716,3.716
1193,Boy 0-2 Yrs,47.2,2.168,2.168,2.357,2.357,3.388,3.388,3.738,3.738
1194,Boy 0-2 Yrs,47.3,2.181,2.181,2.372,2.372,3.408,3.408,3.76,3.76
1195,Boy 0-2 Yrs,47.4,2.195,2.195,2.386,2.386,3.428,3.428,3.782,3.782
1196,Boy 0-2 Yrs,47.5,2.208,2.208,2.401,2.401,3.448,3.448,3.804,3.804
1197,Boy 0-2 Yrs,47.6,2.222,2.222,2.416,2.416,3.469,3.469,3.826,3.826
1198,Boy 0-2 Yrs,47.7,2.236,2.236,2.431,2.431,3.489,3.489,3.848,3.848
1199,Boy 0-2 Yrs,47.8,2.25,2.25,2.446,2.446,3.51,3.51,3.871,3.871
1200,Boy 0-2 Yrs,47.9,2.263,2.263,2.461,2.461,3.53,3.53,3.893,3.893
1201,Boy 0-2 Yrs,48,2.277,2.277,2.476,2.476,3.551,3.551,3.916,3.916
1202,Boy 0-2 Yrs,48.1,2.291,2.291,2.491,2.491,3.572,3.572,3.939,3.939
1203,Boy 0-2 Yrs,48.2,2.306,2.306,2.506,2.506,3.593,3.593,3.962,3.962
1204,Boy 0-2 Yrs,48.3,2.32,2.32,2.521,2.521,3.614,3.614,3.985,3.985
1205,Boy 0-2 Yrs,48.4,2.334,2.334,2.537,2.537,3.635,3.635,4.008,4.008
1206,Boy 0-2 Yrs,48.5,2.349,2.349,2.552,2.552,3.657,3.657,4.031,4.031
1207,Boy 0-2 Yrs,48.6,2.363,2.363,2.568,2.568,3.678,3.678,4.055,4.055
1208,Boy 0-2 Yrs,48.7,2.378,2.378,2.584,2.584,3.7,3.7,4.078,4.078
1209,Boy 0-2 Yrs,48.8,2.393,2.393,2.6,2.6,3.722,3.722,4.102,4.102
1210,Boy 0-2 Yrs,48.9,2.407,2.407,2.616,2.616,3.744,3.744,4.126,4.126
1211,Boy 0-2 Yrs,49,2.422,2.422,2.632,2.632,3.766,3.766,4.151,4.151
1212,Boy 0-2 Yrs,49.1,2.438,2.438,2.648,2.648,3.789,3.789,4.175,4.175
1213,Boy 0-2 Yrs,49.2,2.453,2.453,2.665,2.665,3.812,3.812,4.2,4.2
1214,Boy 0-2 Yrs,49.3,2.468,2.468,2.681,2.681,3.834,3.834,4.225,4.225
1215,Boy 0-2 Yrs,49.4,2.484,2.484,2.698,2.698,3.857,3.857,4.25,4.25
1216,Boy 0-2 Yrs,49.5,2.499,2.499,2.715,2.715,3.881,3.881,4.275,4.275
1217,Boy 0-2 Yrs,49.7,2.531,2.531,2.749,2.749,3.927,3.927,4.326,4.326
1218,Boy 0-2 Yrs,49.8,2.547,2.547,2.766,2.766,3.951,3.951,4.352,4.352
1219,Boy 0-2 Yrs,49.9,2.563,2.563,2.783,2.783,3.975,3.975,4.377,4.377
1220,Boy 0-2 Yrs,50,2.579,2.579,2.801,2.801,3.999,3.999,4.403,4.403
1221,Boy 0-2 Yrs,50.1,2.595,2.595,2.818,2.818,4.023,4.023,4.43,4.43
1222,Boy 0-2 Yrs,50.2,2.612,2.612,2.836,2.836,4.047,4.047,4.456,4.456
1223,Boy 0-2 Yrs,50.3,2.628,2.628,2.853,2.853,4.071,4.071,4.482,4.482
1224,Boy 0-2 Yrs,50.4,2.645,2.645,2.871,2.871,4.096,4.096,4.509,4.509
1225,Boy 0-2 Yrs,50.5,2.661,2.661,2.889,2.889,4.12,4.12,4.536,4.536
1226,Boy 0-2 Yrs,50.6,2.678,2.678,2.907,2.907,4.145,4.145,4.563,4.563
1227,Boy 0-2 Yrs,50.7,2.695,2.695,2.925,2.925,4.17,4.17,4.59,4.59
1228,Boy 0-2 Yrs,50.8,2.712,2.712,2.944,2.944,4.195,4.195,4.617,4.617
1229,Boy 0-2 Yrs,50.9,2.729,2.729,2.962,2.962,4.22,4.22,4.644,4.644
1230,Boy 0-2 Yrs,51,2.746,2.746,2.981,2.981,4.245,4.245,4.672,4.672
1231,Boy 0-2 Yrs,51.1,2.763,2.763,2.999,2.999,4.271,4.271,4.7,4.7
1232,Boy 0-2 Yrs,51.2,2.781,2.781,3.018,3.018,4.296,4.296,4.728,4.728
1233,Boy 0-2 Yrs,51.3,2.798,2.798,3.037,3.037,4.322,4.322,4.756,4.756
1234,Boy 0-2 Yrs,51.4,2.816,2.816,3.056,3.056,4.348,4.348,4.784,4.784
1235,Boy 0-2 Yrs,51.5,2.834,2.834,3.075,3.075,4.375,4.375,4.813,4.813
1236,Boy 0-2 Yrs,51.6,2.852,2.852,3.094,3.094,4.401,4.401,4.841,4.841
1237,Boy 0-2 Yrs,51.7,2.87,2.87,3.114,3.114,4.428,4.428,4.87,4.87
1238,Boy 0-2 Yrs,51.8,2.888,2.888,3.133,3.133,4.454,4.454,4.899,4.899
1239,Boy 0-2 Yrs,51.9,2.907,2.907,3.153,3.153,4.482,4.482,4.929,4.929
1240,Boy 0-2 Yrs,52,2.925,2.925,3.173,3.173,4.509,4.509,4.958,4.958
1241,Boy 0-2 Yrs,52.1,2.944,2.944,3.193,3.193,4.536,4.536,4.988,4.988
1242,Boy 0-2 Yrs,52.2,2.963,2.963,3.214,3.214,4.564,4.564,5.019,5.019
1243,Boy 0-2 Yrs,52.3,2.982,2.982,3.234,3.234,4.592,4.592,5.049,5.049
1244,Boy 0-2 Yrs,52.4,3.001,3.001,3.255,3.255,4.62,4.62,5.08,5.08
1245,Boy 0-2 Yrs,52.5,3.02,3.02,3.276,3.276,4.649,4.649,5.111,5.111
1246,Boy 0-2 Yrs,52.6,3.04,3.04,3.297,3.297,4.678,4.678,5.142,5.142
1247,Boy 0-2 Yrs,52.7,3.06,3.06,3.318,3.318,4.707,4.707,5.173,5.173
1248,Boy 0-2 Yrs,52.8,3.08,3.08,3.339,3.339,4.736,4.736,5.205,5.205
1249,Boy 0-2 Yrs,52.9,3.1,3.1,3.361,3.361,4.765,4.765,5.237,5.237
1250,Boy 0-2 Yrs,53,3.12,3.12,3.383,3.383,4.795,4.795,5.27,5.27
1251,Boy 0-2 Yrs,53.1,3.14,3.14,3.405,3.405,4.825,4.825,5.302,5.302
1252,Boy 0-2 Yrs,53.2,3.161,3.161,3.427,3.427,4.855,4.855,5.335,5.335
1253,Boy 0-2 Yrs,53.3,3.182,3.182,3.449,3.449,4.885,4.885,5.368,5.368
1254,Boy 0-2 Yrs,53.4,3.202,3.202,3.472,3.472,4.916,4.916,5.401,5.401
1255,Boy 0-2 Yrs,53.6,3.245,3.245,3.517,3.517,4.978,4.978,5.468,5.468
1256,Boy 0-2 Yrs,53.7,3.266,3.266,3.54,3.54,5.009,5.009,5.502,5.502
1257,Boy 0-2 Yrs,53.8,3.287,3.287,3.563,3.563,5.04,5.04,5.536,5.536
1258,Boy 0-2 Yrs,53.9,3.309,3.309,3.586,3.586,5.072,5.072,5.57,5.57
1259,Boy 0-2 Yrs,54,3.33,3.33,3.609,3.609,5.104,5.104,5.605,5.605
1260,Boy 0-2 Yrs,54.1,3.352,3.352,3.633,3.633,5.136,5.136,5.639,5.639
1261,Boy 0-2 Yrs,54.2,3.374,3.374,3.656,3.656,5.168,5.168,5.674,5.674
1262,Boy 0-2 Yrs,54.3,3.396,3.396,3.68,3.68,5.2,5.2,5.709,5.709
1263,Boy 0-2 Yrs,54.4,3.418,3.418,3.704,3.704,5.232,5.232,5.744,5.744
1264,Boy 0-2 Yrs,54.5,3.44,3.44,3.727,3.727,5.264,5.264,5.779,5.779
1265,Boy 0-2 Yrs,54.6,3.463,3.463,3.751,3.751,5.297,5.297,5.815,5.815
1266,Boy 0-2 Yrs,54.7,3.485,3.485,3.775,3.775,5.33,5.33,5.85,5.85
1267,Boy 0-2 Yrs,54.8,3.507,3.507,3.799,3.799,5.363,5.363,5.886,5.886
