,Completed,Height,SAM,MAM (kg >),MAM (kg <=),Normal (kg >),Normal (kg <=),Overweight (kg >),Overweight (kg <),Obese
1,Girl 0-2 yrs,45,1.902,1.902,2.066,2.066,2.967,2.967,3.275,3.275
2,Girl 0-2 yrs,45.1,1.915,1.915,2.081,2.081,2.988,2.988,3.298,3.298
3,Girl 0-2 yrs,45.2,1.928,1.928,2.095,2.095,3.008,3.008,3.321,3.321
4,Girl 0-2 yrs,45.3,1.941,1.941,2.109,2.109,3.029,3.029,3.343,3.343
5,Girl 0-2 yrs,45.4,1.954,1.954,2.123,2.123,3.049,3.049,3.366,3.366
6,Girl 0-2 yrs,45.5,1.967,1.967,2.138,2.138,3.07,3.07,3.389,3.389
7,Girl 0-2 yrs,45.6,1.98,1.98,2.152,2.152,3.09,3.09,3.412,3.412
8,Girl 0-2 yrs,45.7,1.993,1.993,2.166,2.166,3.111,3.111,3.434,3.434
9,Girl 0-2 yrs,45.8,2.006,2.006,2.18,2.18,3.131,3.131,3.457,3.457
10,Girl 0-2 yrs,45.9,2.02,2.02,2.195,2.195,3.152,3.152,3.48,3.48
11,Girl 0-2 yrs,46,2.033,2.033,2.209,2.209,3.172,3.172,3.502,3.502
12,Girl 0-2 yrs,46.1,2.046,2.046,2.223,2.223,3.193,3.193,3.525,3.525
13,Girl 0-2 yrs,46.2,2.059,2.059,2.237,2.237,3.214,3.214,3.548,3.548
14,Girl 0-2 yrs,46.3,2.072,2.072,2.252,2.252,3.234,3.234,3.571,3.571
15,Girl 0-2 yrs,46.4,2.085,2.085,2.266,2.266,3.255,3.255,3.593,3.593
16,Girl 0-2 yrs,46.5,2.098,2.098,2.28,2.28,3.275,3.275,3.616,3.616
17,Girl 0-2 yrs,46.6,2.111,2.111,2.294,2.294,3.296,3.296,3.639,3.639
18,Girl 0-2 yrs,46.7,2.124,2.124,2.309,2.309,3.316,3.316,3.662,3.662
19,Girl 0-2 yrs,46.8,2.137,2.137,2.323,2.323,3.337,3.337,3.684,3.684
20,Girl 0-2 yrs,46.9,2.15,2.15,2.337,2.337,3.358,3.358,3.707,3.707
21,Girl 0-2 yrs,47,2.164,2.164,2.351,2.351,3.378,3.378,3.73,3.73
22,Girl 0-2 yrs,47.1,2.177,2.177,2.366,2.366,3.399,3.399,3.753,3.753
23,Girl 0-2 yrs,47.2,2.19,2.19,2.38,2.38,3.42,3.42,3.776,3.776
24,Girl 0-2 yrs,47.3,2.203,2.203,2.394,2.394,3.44,3.44,3.799,3.799
25,Girl 0-2 yrs,47.4,2.216,2.216,2.409,2.409,3.461,3.461,3.822,3.822
26,Girl 0-2 yrs,47.5,2.23,2.23,2.423,2.423,3.482,3.482,3.845,3.845
27,Girl 0-2 yrs,47.6,2.243,2.243,2.438,2.438,3.503,3.503,3.868,3.868
28,Girl 0-2 yrs,47.7,2.256,2.256,2.452,2.452,3.524,3.524,3.891,3.891
29,Girl 0-2 yrs,47.8,2.27,2.27,2.467,2.467,3.545,3.545,3.915,3.915
30,Girl 0-2 yrs,47.9,2.283,2.283,2.482,2.482,3.567,3.567,3.938,3.938
31,Girl 0-2 yrs,48.1,2.311,2.311,2.511,2.511,3.609,3.609,3.986,3.986
32,Girl 0-2 yrs,48.2,2.324,2.324,2.526,2.526,3.631,3.631,4.009,4.009
33,Girl 0-2 yrs,48.3,2.338,2.338,2.541,2.541,3.652,3.652,4.033,4.033
34,Girl 0-2 yrs,48.4,2.352,2.352,2.556,2.556,3.674,3.674,4.057,4.057
35,Girl 0-2 yrs,48.5,2.366,2.366,2.571,2.571,3.696,3.696,4.082,4.082
36,Girl 0-2 yrs,48.6,2.38,2.38,2.587,2.587,3.718,3.718,4.106,4.106
37,Girl 0-2 yrs,48.7,2.394,2.394,2.602,2.602,3.74,3.74,4.13,4.13
38,Girl 0-2 yrs,48.8,2.408,2.408,2.618,2.618,3.763,3.763,4.155,4.155
39,Girl 0-2 yrs,48.9,2.423,2.423,2.633,2.633,3.785,3.785,4.18,4.18
40,Girl 0-2 yrs,49,2.437,2.437,2.649,2.649,3.808,3.808,4.205,4.205
41,Girl 0-2 yrs,49.1,2.451,2.451,2.665,2.665,3.831,3.831,4.231,4.231
42,Girl 0-2 yrs,49.2,2.466,2.466,2.681,2.681,3.854,3.854,4.256,4.256
43,Girl 0-2 yrs,49.3,2.481,2.481,2.697,2.697,3.877,3.877,4.282,4.282
44,Girl 0-2 yrs,49.4,2.496,2.496,2.713,2.713,3.901,3.901,4.308,4.308
45,Girl 0-2 yrs,49.5,2.511,2.511,2.729,2.729,3.924,3.924,4.334,4.334
46,Girl 0-2 yrs,49.6,2.526,2.526,2.746,2.746,3.948,3.948,4.36,4.36
47,Girl 0-2 yrs,49.7,2.541,2.541,2.762,2.762,3.972,3.972,4.387,4.387
48,Girl 0-2 yrs,49.8,2.557,2.557,2.779,2.779,3.996,3.996,4.413,4.413
49,Girl 0-2 yrs,49.9,2.572,2.572,2.796,2.796,4.02,4.02,4.44,4.44
50,Girl 0-2 yrs,50,2.588,2.588,2.813,2.813,4.045,4.045,4.467,4.467
51,Girl 0-2 yrs,50.1,2.603,2.603,2.83,2.83,4.07,4.07,4.495,4.495
52,Girl 0-2 yrs,50.2,2.619,2.619,2.847,2.847,4.095,4.095,4.522,4.522
53,Girl 0-2 yrs,50.3,2.635,2.635,2.865,2.865,4.12,4.12,4.55,4.55
54,Girl 0-2 yrs,50.4,2.651,2.651,2.882,2.882,4.145,4.145,4.578,4.578
55,Girl 0-2 yrs,50.5,2.668,2.668,2.9,2.9,4.171,4.171,4.606,4.606
56,Girl 0-2 yrs,50.6,2.684,2.684,2.917,2.917,4.196,4.196,4.635,4.635
57,Girl 0-2 yrs,50.7,2.7,2.7,2.935,2.935,4.222,4.222,4.664,4.664
58,Girl 0-2 yrs,50.8,2.717,2.717,2.953,2.953,4.248,4.248,4.692,4.692
59,Girl 0-2 yrs,50.9,2.734,2.734,2.972,2.972,4.275,4.275,4.722,4.722
60,Girl 0-2 yrs,51,2.75,2.75,2.99,2.99,4.301,4.301,4.751,4.751
61,Girl 0-2 yrs,51.1,2.767,2.767,3.008,3.008,4.328,4.328,4.78,4.78
62,Girl 0-2 yrs,51.2,2.784,2.784,3.027,3.027,4.355,4.355,4.81,4.81
63,Girl 0-2 yrs,51.3,2.802,2.802,3.046,3.046,4.382,4.382,4.84,4.84
64,Girl 0-2 yrs,51.4,2.819,2.819,3.065,3.065,4.409,4.409,4.87,4.87
65,Girl 0-2 yrs,51.5,2.836,2.836,3.084,3.084,4.437,4.437,4.901,4.901
66,Girl 0-2 yrs,51.6,2.854,2.854,3.103,3.103,4.464,4.464,4.931,4.931
67,Girl 0-2 yrs,51.7,2.872,2.872,3.122,3.122,4.492,4.492,4.962,4.962
68,Girl 0-2 yrs,51.8,2.889,2.889,3.141,3.141,4.52,4.52,4.993,4.993
69,Girl 0-2 yrs,52,2.925,2.925,3.18,3.18,4.577,4.577,5.056,5.056
70,Girl 0-2 yrs,52.1,2.944,2.944,3.2,3.2,4.605,4.605,5.087,5.087
71,Girl 0-2 yrs,52.2,2.962,2.962,3.22,3.22,4.634,4.634,5.119,5.119
72,Girl 0-2 yrs,52.3,2.98,2.98,3.24,3.24,4.663,4.663,5.151,5.151
73,Girl 0-2 yrs,52.4,2.999,2.999,3.26,3.26,4.692,4.692,5.183,5.183
74,Girl 0-2 yrs,52.5,3.017,3.017,3.28,3.28,4.721,4.721,5.216,5.216
75,Girl 0-2 yrs,52.6,3.036,3.036,3.301,3.301,4.751,4.751,5.248,5.248
76,Girl 0-2 yrs,52.7,3.055,3.055,3.321,3.321,4.78,4.78,5.281,5.281
77,Girl 0-2 yrs,52.8,3.073,3.073,3.342,3.342,4.81,4.81,5.314,5.314
78,Girl 0-2 yrs,52.9,3.092,3.092,3.362,3.362,4.84,4.84,5.347,5.347
79,Girl 0-2 yrs,53,3.112,3.112,3.383,3.383,4.87,4.87,5.38,5.38
80,Girl 0-2 yrs,53.1,3.131,3.131,3.404,3.404,4.9,4.9,5.413,5.413
81,Girl 0-2 yrs,53.2,3.15,3.15,3.425,3.425,4.93,4.93,5.447,5.447
82,Girl 0-2 yrs,53.3,3.169,3.169,3.446,3.446,4.961,4.961,5.481,5.481
83,Girl 0-2 yrs,53.4,3.189,3.189,3.467,3.467,4.992,4.992,5.515,5.515
84,Girl 0-2 yrs,53.5,3.208,3.208,3.488,3.488,5.022,5.022,5.549,5.549
85,Girl 0-2 yrs,53.6,3.228,3.228,3.51,3.51,5.053,5.053,5.583,5.583
86,Girl 0-2 yrs,53.7,3.248,3.248,3.531,3.531,5.084,5.084,5.617,5.617
87,Girl 0-2 yrs,53.8,3.267,3.267,3.553,3.553,5.115,5.115,5.652,5.652
88,Girl 0-2 yrs,53.9,3.287,3.287,3.574,3.574,5.147,5.147,5.686,5.686
89,Girl 0-2 yrs,54,3.307,3.307,3.596,3.596,5.178,5.178,5.721,5.721
90,Girl 0-2 yrs,54.1,3.327,3.327,3.617,3.617,5.209,5.209,5.756,5.756
91,Girl 0-2 yrs,54.2,3.347,3.347,3.639,3.639,5.241,5.241,5.791,5.791
92,Girl 0-2 yrs,54.3,3.367,3.367,3.661,3.661,5.272,5.272,5.826,5.826
93,Girl 0-2 yrs,54.4,3.387,3.387,3.683,3.683,5.304,5.304,5.861,5.861
94,Girl 0-2 yrs,54.5,3.407,3.407,3.705,3.705,5.336,5.336,5.896,5.896
95,Girl 0-2 yrs,54.6,3.427,3.427,3.727,3.727,5.368,5.368,5.931,5.931
96,Girl 0-2 yrs,54.7,3.447,3.447,3.749,3.749,5.4,5.4,5.966,5.966
97,Girl 0-2 yrs,54.8,3.468,3.468,3.771,3.771,5.432,5.432,6.002,6.002
98,Girl 0-2 yrs,54.9,3.488,3.488,3.793,3.793,5.464,5.464,6.037,6.037
99,Girl 0-2 yrs,55,3.508,3.508,3.815,3.815,5.496,5.496,6.073,6.073
100,Girl 0-2 yrs,55.1,3.529,3.529,3.837,3.837,5.528,5.528,6.108,6.108
101,Girl 0-2 yrs,55.2,3.549,3.549,3.859,3.859,5.56,5.56,6.144,6.144
102,Girl 0-2 yrs,55.3,3.57,3.57,3.882,3.882,5.592,5.592,6.18,6.18
103,Girl 0-2 yrs,55.4,3.59,3.59,3.904,3.904,5.624,5.624,6.215,6.215
104,Girl 0-2 yrs,55.5,3.611,3.611,3.926,3.926,5.657,5.657,6.251,6.251
105,Girl 0-2 yrs,55.6,3.631,3.631,3.949,3.949,5.689,5.689,6.287,6.287
106,Girl 0-2 yrs,55.7,3.652,3.652,3.971,3.971,5.721,5.721,6.323,6.323
107,Girl 0-2 yrs,55.9,3.693,3.693,4.016,4.016,5.786,5.786,6.394,6.394
108,Girl 0-2 yrs,56,3.713,3.713,4.038,4.038,5.818,5.818,6.43,6.43
109,Girl 0-2 yrs,56.1,3.734,3.734,4.06,4.06,5.851,5.851,6.466,6.466
110,Girl 0-2 yrs,56.2,3.754,3.754,4.083,4.083,5.883,5.883,6.502,6.502
111,Girl 0-2 yrs,56.3,3.775,3.775,4.105,4.105,5.916,5.916,6.537,6.537
112,Girl 0-2 yrs,56.4,3.795,3.795,4.127,4.127,5.948,5.948,6.573,6.573
113,Girl 0-2 yrs,56.5,3.816,3.816,4.15,4.15,5.98,5.98,6.609,6.609
114,Girl 0-2 yrs,56.6,3.836,3.836,4.172,4.172,6.013,6.013,6.645,6.645
115,Girl 0-2 yrs,56.7,3.857,3.857,4.194,4.194,6.045,6.045,6.681,6.681
116,Girl 0-2 yrs,56.8,3.878,3.878,4.217,4.217,6.078,6.078,6.717,6.717
117,Girl 0-2 yrs,56.9,3.898,3.898,4.239,4.239,6.11,6.11,6.753,6.753
118,Girl 0-2 yrs,57,3.919,3.919,4.262,4.262,6.143,6.143,6.789,6.789
119,Girl 0-2 yrs,57.1,3.939,3.939,4.284,4.284,6.175,6.175,6.824,6.824
120,Girl 0-2 yrs,57.2,3.96,3.96,4.306,4.306,6.207,6.207,6.86,6.86
121,Girl 0-2 yrs,57.3,3.98,3.98,4.329,4.329,6.24,6.24,6.896,6.896
